wallet,totalValue
0x80c67432656d59144ceff962e8faf8926599bcf8,230261.8954290421
0xe4edb277e41dc89ab076a1f049f4a3efa700bce8,179865.4329272613
0x3f5401a9d0dd2390d1a8c7060672d4b704df6372,109699.45
0x5e809a85aa182a9921edd10a4163745bb3e36284,47285.544556881054
0x33128fa08f5e0545f4714434b53bdb5e98f62474,43629.01800903878
0x00051d55999c7cd91b17af7276cbecd647dbc000,33973.56210269401
0x664d8f8f2417f52cbbf5bd82ba82eefc58a87f07,30196.594446853887
0xc451b0191351ce308fdfd779d73814c910fc5ecb,29681.334356530002
0xdc927bd56cf9dfc2e3779c7e3d6d28da1c219969,24563.17002857116
0x842333eba5cbfc9be5c3a4ad8353d03760109a79,22572.491245790214
0x2098868b1cc5374951eb63724342c7a875595127,21672.88303712891
0x2fc617e933a52713247ce25730f6695920b3befe,21164.50596848
0x82e51a8304156f96c6f01e4ae3c2554d0de5d156,19144.760000000002
0x67378c1699df7a703c2b7dd704338357f31a241b,18695.01272868853
0x1e8586f4b85d756586452d40149addb7fff82f33,17880.256999999998
0x802d38658cf6b0c1d948e4ae6085a109c345861b,17136.295266249308
0xc44fd102415ff62769a4e37c70dea27033a5291f,16641.27359495339
0xf1fbb2fbe444a589ee049a1a14c6ba623e336b0c,15328.991824551478
0xc50d67d7229fcb41670e5d023b43f156d997223b,14963.630883584476
0xc0c233a306a096112198258f5a15d0cfdbe8dd7e,14715.379691139337
0x01d7266d668ab1f53ae50b53f882c74f9fa18499,14145.880775475354
0x48cce57c4d2dbb31eaf79575abf482bbb8dc071d,12291.319653651466
0xe584b655a6d3d818998670f73c9c0702b66498e2,11517.68196651652
0x3924a9a1706285f5e92486dc19945e43fb2f98cf,11325.099434075702
0x1a9b315367fc746b479dbb6a143a10cd4642aad8,10611.01
0x6f923e527a9ac0fca4e4a14ee10778fbf0d8013c,10239.499134608148
0x8c2c3117c620571cb2c34d1e38c150995cde560b,10211.338793173016
0x132f52f4eacf19e1e3fcaf930f0ae9c86e5d61b7,9880.35880734269
0xe2e1808ed4cc4a6f701696086838f511ee187d57,9774.34057137821
0xb6ea33fe2b633df576a47033fbccf2102119c01d,9051.142265718641
0x96e91e46e72148b0a4427fb5f4038bae59da388c,8958.428944852916
0x0a4b44e5e7ed821f626677a608164159d9b65675,8354.38823616356
0x45a318273749d6eb00f5f6ca3bc7cd3de26d642a,7818.316257090533
0x625cbb188ac533b8e5b0b1d140407a04572bc084,7493.242638711926
0x148393ef7a50c56b1d601d684eca7c5e037ff44f,7054.616219051049
0x07c479aeafbcdcfd587a324a0a4ff0a10c9efa3f,6661.019221978596
0x6662df85e5ff14fb73cf3ef05dc124dea4b3cbdb,6355.717076107788
0x7413e83f49d7b5a1a36493fa09cb2ff98aa66937,6339.150000000001
0x1ff7b0bf44b9fd1c845ba6b769be828be1638c49,6306.273741538162
0xd2af3fa5c58fc2a03b7f437d2725ba8f725b1af6,5678.936133364262
0xef4a52d5483049b37cb883539d1b380eed80a598,5555.501016151862
0xc75b143301cf47a3ad096ed904f5e3f0831a57fb,5500.210000000001
0xbe821f7f9c1c762a15a8073c2e4ea6cfe07a4752,5246.76857781814
0xee73323912a4e3772b74ed0ca1595a152b0ef282,5180.186698924618
0x343d522dabe8ca6c6ae786566d3e6b74b01fba11,5172.259621792155
0xde538e3a083e673fec5e2c096a5927ca7ec025cc,5074.821192570243
0x4f45eceb38221b338b4651cc1cdf51b1b61fddf4,5000.247292778602
0x19580ff7b9a8cdb48480abd95de556c9ceedb007,5000
0x3bb5c8a00190da68059f0f66c24794584eb10d07,4984.298631086164
0xd283691dcd0316b80b59edf2e36214662fc1c9ba,4956.887109754203
0x5efb1c0ba60ee295056c6ee112491584c31d2a33,4776.415725804673
0x91d4feb0451254b8024d03d09d9b62a1a2e38e28,4702.867830680244
0x5baac7ccda079839c9524b90df81720834fc039f,4694.916211096844
0xbb226555fbb98850273b10b0cf55ad2f99966d20,4642.78998624901
0x4c7b397530d4fa4b3e1809f39e9d2b0322d9b3ab,4492.337051822826
0xee2826453a4fd5afeb7ceffeef3ffa2320081268,4478.42
0xe000008459b74a91e306a47c808061dfa372000e,4412.4673
0xa204e90fb22b33631ff6c52605a595b42f256904,4291.230463915372
0x096187368ac90c47a4df438ccba411debd25d93a,4273.446457697608
0x2156bfa195c033ca2df4ff14e6da0c617b8cb4f7,4244.507324326769
0x7d3d6e70a25fb25132108bfbf8eb5009beda9884,3954.7017562179158
0x70a3c641a509d343d18948357e1018e8a597421d,3851.017797131686
0x6d42aab8b4efd1ad0c5454a040b59ae3c99440b5,3844.3033797761914
0xa141d0c91177bd655380b0d2f76e3dc275ae4d56,3814.710021975108
