address,diffamount
0x0000006916a87b82333f4245046623b23794c65c,35807
0x001c3edf39bb957f0c1be251edc2fae1bc886f4a,26745
0x0035fc5208ef989c28d47e552e92b0c507d2b318,16174
0x003a594540b8a29a74773e29a71e51fe448dfd89,14578
0x003bbe6da0eb4963856395829030fce383a14c53,16174
0x003e42d7e8e2107a7ecd7cbc9a140b271a8150a5,18222
0x004cc1280c30b73fb31adf680328bafae2935150,44759
0x004f67dabb603aaa58ed52641ccaff09c559704a,35807
0x0057a317f0bf1a998368edf19e37c8f99861ad71,26745
0x00725e5694b42082ad9040cb60d2dabee0ca70c5,18222
0x008b3b2f992c0e14edaa6e2c662bec549caa8df1,35807
0x00a082f9ec6abe5f511c83b9e8b646e2f7b4fcb7,18222
0x00a10219838f6be665b4155725307102239eaf1c,2452128
0x00b13e1ba93eb05323e8118e584fda4cb8dfb3bd,21396
0x00ba99fac8f68713973627d150e0219b006ad7d6,37570
0x00cdd7fc085c86d000c0d54b3ca6fe83a8a806e5,21396
0x00d34c73086180d07548f08d655de420e8db74cc,16174
0x00de4b13153673bcae2616b67bf822500d325fc3,35807
0x00feb22ab6cfee31c57e8ce0de55464b30658eba,44759
0x012ce20df50768c8ddcd5ecc1e9dcbb3cc7be7fc,21396
0x0138591cd996b09a358f3b81cb351c57d03a7d01,16174
0x017347cb75ac8725608e593ea35d83f9b2b3cfb8,4811
0x0186360230a2c62c56c380de3f59d615be2ff250,18222
0x0194325bf525be0d4fbb0856894ced74da3b8356,35807
0x01b14e387b96224840928f005324ed1289b9a816,44759
0x01b82a39bd478ca798c49738f3514ee4b87b5dc6,26745
0x01cb8755bd7889667dabfd1c626c294ca4f38865,16174
0x01cf9fd2efa5fdf178bd635c3e2adf25b2052712,14578
0x01f49cdd0121e50321eaecd5f82a9af008422d0b,14578
0x0200741ecaa5dd338667367cf6b19c1e065174e0,18222
0x02099b49e786720ddd9fb65edd67f631816072fc,44759
0x023802eb071e6bbd42ae13e7b0d9b005d93d293c,14578
0x02529ee194a258fb9db4549cface5a5e7d7db8f5,44759
0x026824b79e3c99f993b55eb064ac9ce6857af853,26745
0x0271e8e9b4e3b0e2e1b164ed5e1875484db47879,14578
0x0298f4332e3857631385b39766325058a93e249f,16174
0x02a0ab43e69c655db60d96d8f782f1c1dbe2674b,18222
0x02ae743dd3706ec0cc1432574461f66eda297bde,26745
0x02d489cfdf7b406630263ed659c0e0449c6c1c0c,26745
0x02feb744ca516fd6e41d940ae2d0f7cb6fcb1ac3,18222
0x0302fefe5b42ebbf31a8e227219ad812a4ff8a1f,16174
0x030541c160188d71617bbe884ebdfdc883fe7766,35807
0x031009da5ef8f33b0d62be3ad74f7d39d809ff48,18222
0x031bc0833136c14ea61c44daa13ea3d7f7cc8ce2,26745
0x034b3e96e36289c3b6724f10289338b49043b547,14578
0x035789dbb9b20a94b550f572bcec853a3ef163bb,16174
0x0382bdcfd6415be599b9441bb06241691b8584b4,18222
0x039534ca7037f77bee67170229cfcbe8e196fbb8,44759
0x039857a82c29678378b768c8bfcf4c059457b0c6,18222
0x039ba7c5b4f7362e85b2de4e9d21374ae873940a,16174
0x03a06c0a618a7b2cdda93156781ee9b5383a5871,44759
0x03a673e4a53120a0f6f57e49b202f38553917136,18222
0x03c2f0aba939bd1809c705e6164661f7189f4aa3,44759
0x03f59451814ed631b18cad53cc515418e9b2e153,26745
0x041adc6732d42e23fdf0dda4422eb35bb07442de,16174
0x0421a6b0833d252b2ce8207a336f3871125e08fe,26745
0x042d5b44cc48aa8f2f2c96fd569764a401bfa392,16174
0x044374979353b2b2a928d9ae2a4d74f13bff2d16,18222
0x04446ef9dc2157bfdcfeef181a1d367e1f3f1168,18222
0x044cd5f498ddbf0ea854ab4bc96110756b26de97,21396
0x04593bd96cc252f5c35a18b56c75a99acb3b3bc4,44759
0x046fb65722e7b2455012bfebf6177f1d2e9738d9,16174
0x04888e23bd11735ea72291f312fae0d9bf7de9a8,44759
0x048a363ec77941ec502207e133b8f5fd4d300403,21396
0x04ade09c8f85a26d658f771db31f382a18f2e90b,18222
0x04af95dca725dddf04a0ff85f70282f51718560d,14578
0x04c8a3607d81a414d69029feeea9b9d6ce61b9a5,21396
0x04ceeb36ecf128ecb79ac917035855e79dea9ed3,35807
0x04fcb889a917fa8662ec4e5cd95af90fecd9a43c,26745
0x05105e46d049db8c47acd68c4385df7ef5c9b416,44759
0x05221c4ff9ff91f04cb10f46267f492a94571fa9,44759
0x0525c8c9887d64fad8e0aa6dd8051ea28dade495,18222
0x055544108a7e647cff2925c1a5148dcb3fe2e0d9,44759
